campaign_id,budget
126,4417.882
29125,10032.935
740,16950.848
3911,4841.57
33566,7995.8086
13811,8248.36
123,13367.728
32011,3000.2937
8696,11429.4795
6811,3596.8877
23186,1504.1106
9806,1976.3337
35059,7147.094
6955,7198.0176
36563,1162.8082
32052,8722.295
9564,31999.113
10744,3985.0715
22019,8160.1934
6548,12857.327
7743,6440.861
32837,1578.9915
899,9381.27
16873,14605.607
127,24144.719
29621,7171.1074
1715,1320.8865
15908,43454.06
17146,9998.757
19256,59430.266
35936,4981.2026
15113,1634.9983
7464,52570.254
791,9522.828
20868,5515.354
13415,9798.998
9392,4982.675
30865,200885.1
1624,31970.365
1409,19410.275
9617,7243.594
15003,5238.6953
35462,6351.594
17009,8916.397
9525,52540.656
26536,6161.587
20831,18036.799
3710,27372.8
16118,13295.446
20651,8132.122
24996,7669.07
10503,97824.445
33489,9406.326
13383,7988.617
6620,52542.574
28142,13756.728
20620,117181.26
6201,1412.0347
30841,8879.236
37042,20569.934
35515,10791.831
10312,9631.211
9425,5568.079
19136,20064.965
8999,8403.513
20580,15329.351
35032,10060.77
12571,1983.0083
27831,2507.0356
25457,3750.131
35764,4110.1167
22983,4575.9746
16392,4036.8005
20281,7352.829
6677,7410.4717
15740,1976.7513
23384,1329.8944
113,10458.343
5483,66285.67
1972,57797.418
10867,5347.306
33536,11562.55
14959,189711.95
17669,7171.521
628,12310.427
36669,5881.2666
6109,19950.162
32166,5681.9077
19147,5630.9385
6471,12550.457
15149,1453.0734
22009,6933.8
29759,9653.497
21864,4963.664
11154,3529.0845
9774,23078.852
20278,7531.2607
17758,3765.5771
8421,3733.084
6335,7361.5894
6909,11549.04
5292,9992.418
35997,9315.0205
8167,25170.14
7103,1375.7568
34056,31525.654
34917,8664.169
837,5634.3857
2051,6489.638
2006,9686.026
6488,11763.792
31793,6370.931
35570,5704.989
11996,48003.39
870,11888.986
15647,6433.928
5992,11919.759
34221,5330.8984
8062,8146.051
34551,1458.366
7078,2840.5278
22604,4036.8005
4500,7164.1904
7020,8673.519
15440,9832.079
492,5518.5757
1438,10046.902
14463,4984.0547
11801,5989.0903
26719,11321.938
7740,1627.8727
13085,10465.937
4164,1317.4662
24218,9870.164
298,10074.329
7043,10774.282
25922,11100.443
1101,5833.0845
11110,7701.7085
828,19788.719
876,12212.923
21587,6682.758
5877,5175.3105
9511,9065.755
1773,84686.67
600,8811.32
27705,5883.9653
22751,11373.596
479,4040.0476
11488,5053.763
30670,5132.072
24498,9730.437
23507,8682.186
20336,8873.548
33644,5162.192
35569,2201.9487
27573,7631.6772
133,9033.369
23383,3493.37
24946,10300.69
36305,15037.355
9728,7918.471
28911,7977.051
14286,8575.06
16194,4468.145
23268,7631.6772
27759,2205.8457
36821,2163.2747
18480,7513.7207
12614,14133.784
33763,13118.958
3598,12540.286
14925,11428.811
5197,30589.088
30123,52570.254
11036,6249.5156
12037,96003.51
4825,3602.224
11614,5929.03
10219,14166.86
1969,13979.82
14958,11290.19
15,14787.608
12906,4963.664
7305,10780.753
29695,2665.6958
16249,5705.0166
16610,8667.268
15118,120880.59
29487,17151.098
15962,7845.397
24285,6859.168
16349,6364.952
25078,2973.5562
22850,9660.391
3920,11192.856
17434,14321.692
10708,11546.283
32213,82012.04
14202,15824.413
1142,6286.5093
23348,1249.8995
13616,9381.27
17405,14767.125
26042,13738.789
30312,6080.589
962,12212.923
31965,34284.02
2577,828.7958
32269,8364.433
16631,7743.472
708,10259.846
14801,7421.968
8273,9491.6875
378,75430.63
21840,5294.0273
12956,4125.3013
9710,9381.27
25845,61724.617
35284,50295.637
25738,10047.138
30811,11423.641
28982,7945.4375
35200,1610.3434
9709,9822.479
4832,4570.348
2,22060.262
9837,3457.7292
32722,786.90027
16597,1637.2386
1236,13592.72
17496,14851.187
16511,5162.192
11118,1378.1355
56,14411.327
19122,3095.2146
17059,10219.896
19355,2629.074
10809,8947.495
30555,2444.9546
30567,9721.763
9521,27492.873
21823,12158.44
26623,6557.827
16753,1647.2073
33945,9176.6
12950,5217.8457
820,8338.019
33680,10465.937
33094,6408.978
35589,6626.3936
11244,9864.226
251,5598.103
8233,34300.08
17448,4965.0034
35912,9974.669
24832,5631.8667
20252,9978.812
1638,9609.951
24935,13792.159
1782,234904.6
7156,84979.3
6673,6890.2314
2850,134737.17
1881,9249.359
1420,8240.708
8612,13600.919
6871,1637.2386
9132,3608.1497
8340,2172.208
30947,7525.0015
9739,5017.403
36413,8901.923
3178,77257.24
3652,1181.0095
36561,12363.512
16193,14428.738
8575,9457.847
746,13780.933
24528,6846.709
2122,10003.048
31288,96003.51
13048,6080.589
29816,2451.903
13414,6249.5156
24141,2994.552
29914,89137.23
9656,4242.029
407,6799.786
20860,84571.86
24157,11850.796
31781,6174.057
27046,10093.842
26632,10390.037
36572,9782.603
17632,1496.1809
22669,20513.125
